# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
1D4	2F2	1	-7 1 0 0 0 1
1D4	2G2	1	-7 3 -1 0 1
1D4	2H2	1	-6 2 -1
1F	2P	1	-4 0 0 -1 1
1F	2D1	-1	-4 1 1 -2 1
1F	2D2	-1	0 0 1 -2
1F	2F2	1	-3
1F	2G1	-1	0 3 0 -2 -1
1F	2G2	-1	-3 0 1 -2 0 1
1F	2H1	-1	-4 1 0 -1
1F	2H2	0	
1F	2I	1	-4 1 0 0 -1 1
1G1	2P	-1	-2 -1 -1 -1 1
1G1	2D1	-1	-2 0 0 -2 1
1G1	2D2	-1	2 -1 0 -2
1G1	2F1	1	-2 -1 1
1G1	2F2	-1	1 -1 -1 0 -1
1G1	2G1	1	-2 1 2 -2 -1
1G1	2G2	-1	1 0 -1 -2 0 1
1G1	2H1	1	-2 -2 0 -1 0 1
1G1	2H2	-1	2 -2 -1
1G1	2I	-1	-2 0 -1 0 -1 1
1G1	2K	1	2 -1 0 0 -1
1G2	2P	1	2 0 -1 -2 1
1G2	2D1	-1	4 -1 0 -3 1
1G2	2D2	1	-2 0 0 -3
1G2	2F2	1	-3 0 -1 -1 -1
1G2	2G1	1	4 0 2 -3 -1
1G2	2G2	1	-3 1 -1 -3 0 1
1G2	2H1	-1	2 -1 0 -2 0 1
1G2	2H2	1	-2 -1 -1 -1
1G2	2I	-1	4 -1 -1 -1 -1 1
1G2	2K	-1	-2 0 0 -1 -1
1G3	2P	-1	-4 0 1 -2 0 1
1G3	2D1	1	-4 1 0 -3 0 1
1G3	2D2	-1	0 -2 0 -3 1 1
1G3	2F2	1	-3 -2 1 -1 0 1
1G3	2G1	1	0 2 0 -3 0 1
1G3	2G2	1	-3 -1 -1 -3 1 0 0 0 2
1G3	2H1	-1	-4 1 0 -2 1
1G3	2H2	-1	2 -1 -1 -1 1 -1
1G3	2I	1	-4 1 1 -1
1G3	2K	1	2 0 0 -1 0 -1
1G4	2D2	1	-2 -2 0 0 0 1
1G4	2F2	1	-3 -2 1 0 -1 1
1G4	2G2	-1	-3 -1 -1
